datetime,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2017-01-01 00:00:00,20,2,0.2,0.04,1.7,7.5,9.2,25,67,18,NR,88,1.5,2,33,37,1.4,0.1
2017-01-01 01:00:00,20,2.2,0.19,0.05,1.9,7.9,9.8,18,52,14,NR,88,2.1,2.2,76,143,0.5,0.6
2017-01-01 02:00:00,19,2.2,0.24,0.08,2,9.3,11,13,59,17,NR,89,2,2.3,140,142,0.5,0.6
2017-01-01 03:00:00,19,2.4,0.24,0.11,1.4,9.5,11,8.5,53,24,NR,90,1.8,2.5,107,51,0.5,0.4
2017-01-01 04:00:00,18,3.4,0.23,0.12,6.8,11,17,1.8,37,25,NR,90,1.7,3.6,96,106,1,0.5
2017-01-01 05:00:00,17,3.6,0.37,0.13,8.4,12,20,2,57,28,NR,91,2,3.7,79,114,0.8,0.7
2017-01-01 06:00:00,18,3.3,0.42,0.13,8.1,12,20,1.9,41,33,NR,91,2,3.4,74,67,1.1,0.9
2017-01-01 07:00:00,18,2.8,0.51,0.19,15,14,29,2.9,60,36,NR,92,2,2.9,33,11,1.1,0.7
2017-01-01 08:00:00,19,2.5,0.54,0.18,18,14,32,5,50,41,NR,93,1.9,2.7,49,40,1.5,1.1
2017-01-01 09:00:00,20,2.2,0.53,0.16,11,15,27,13,74,46,NR,93,3,2.4,51,47,1.9,1.2
2017-01-01 10:00:00,22,2,0.55,0.14,4.4,16,20,36,125,60,NR,93,6.3,2.1,27,33,1.8,1
2017-01-01 11:00:00,23,2,0.45,0.12,3,15,18,43,119,68,NR,81,4.5,2.1,313,286,2.5,0.9
2017-01-01 12:00:00,23,1.9,0.42,0.1,2.3,12,15,52,125,66,NR,76,4.9,2,34,65,4.3,0.6
2017-01-01 13:00:00,23,1.8,0.18,0.02,0.9,4.7,5.6,54,105,52,NR,79,3.3,1.8,103,92,4.4,0.5
2017-01-01 14:00:00,23,1.8,0.22,0.03,1.1,5.2,6.4,52,123,39,NR,80,2.7,1.8,116,110,4.9,0.5
2017-01-01 15:00:00,22,1.8,0.17,0.03,0.6,4.2,4.8,51,94,36,NR,82,1.9,1.8,116,269,3.7,0.5
